iter	Passed	Remaining
0	13	67022
1	26	67123
2	39	66524
3	50	62685
4	60	60288
5	71	59181
6	80	57774
7	91	57048
8	101	56194
9	111	55756
10	122	55426
11	132	55048
12	142	54753
13	153	54511
14	163	54241
15	173	54000
16	183	53751
17	193	53607
18	203	53453
19	214	53318
20	225	53357
21	235	53267
22	245	53163
23	255	53070
24	266	53025
25	276	52877
26	287	52895
27	297	52748
28	307	52751
29	318	52691
30	328	52634
31	338	52592
32	348	52451
33	358	52353
34	368	52299
35	379	52262
36	389	52272
37	399	52204
38	409	52110
39	420	52092
40	429	51980
41	440	51949
42	450	51919
43	460	51891
44	471	51898
45	481	51880
46	492	51849
47	501	51776
48	511	51716
49	523	51782
50	532	51689
51	542	51646
52	552	51604
53	562	51521
54	573	51524
55	583	51539
56	594	51576
57	617	52579
58	630	52795
59	642	52868
60	652	52867
61	663	52808
62	673	52766
63	683	52732
64	693	52681
65	704	52670
66	714	52630
67	725	52593
68	735	52577
69	745	52527
70	756	52484
71	766	52469
72	778	52550
73	790	52606
74	800	52555
75	813	52687
76	823	52635
77	834	52655
78	844	52634
79	854	52578
80	864	52516
81	874	52464
82	885	52436
83	895	52384
84	905	52348
85	915	52299
86	925	52262
87	935	52194
88	945	52179
89	955	52135
90	965	52101
91	976	52076
92	986	52035
93	996	52006
94	1006	51955
95	1016	51925
96	1026	51899
97	1037	51873
98	1047	51855
99	1058	51853
100	1068	51829
101	1078	51793
102	1088	51746
103	1098	51708
104	1108	51683
105	1121	51765
106	1131	51750
107	1142	51738
108	1152	51732
109	1162	51692
110	1172	51664
111	1182	51626
112	1193	51619
113	1203	51573
114	1213	51531
115	1223	51514
116	1233	51493
117	1243	51460
118	1253	51419
119	1263	51389
120	1273	51365
121	1283	51311
122	1293	51293
123	1303	51258
124	1313	51233
125	1323	51198
126	1334	51193
127	1343	51153
128	1354	51143
129	1364	51120
130	1375	51118
131	1385	51078
132	1395	51064
133	1405	51027
134	1415	51018
135	1425	50991
136	1435	50966
137	1445	50924
138	1455	50907
139	1466	50903
140	1476	50884
141	1486	50869
142	1497	50852
143	1507	50845
144	1517	50817
145	1537	51115
146	1547	51093
147	1557	51058
148	1567	51031
149	1577	50997
150	1587	50980
151	1597	50960
152	1607	50933
153	1618	50921
154	1627	50887
155	1638	50866
156	1648	50849
157	1658	50828
158	1668	50812
159	1679	50810
160	1689	50791
161	1700	50773
162	1710	50751
163	1720	50738
164	1730	50713
165	1740	50695
166	1751	50686
167	1761	50662
168	1772	50682
169	1785	50725
170	1795	50711
171	1807	50743
172	1818	50737
173	1828	50715
174	1838	50702
175	1848	50678
176	1858	50644
177	1868	50629
178	1878	50600
179	1889	50584
180	1898	50554
181	1908	50525
182	1918	50498
183	1927	50460
184	1938	50441
185	1948	50433
186	1958	50413
187	1969	50412
188	1979	50385
189	1989	50360
190	1999	50348
191	2009	50312
192	2019	50293
193	2029	50276
194	2040	50270
195	2050	50248
196	2060	50224
197	2070	50203
198	2080	50194
199	2090	50172
200	2100	50156
201	2110	50137
202	2130	50345
203	2140	50322
204	2150	50307
205	2160	50286
206	2170	50268
207	2181	50249
208	2190	50222
209	2200	50197
210	2210	50178
211	2220	50160
212	2230	50136
213	2240	50111
214	2250	50082
215	2260	50065
216	2270	50040
217	2280	50028
218	2290	50005
219	2300	49989
220	2311	49975
221	2320	49946
222	2330	49918
223	2340	49893
224	2372	50339
225	2385	50398
226	2396	50386
227	2406	50369
228	2416	50348
229	2426	50326
230	2436	50306
231	2446	50287
232	2456	50268
233	2467	50246
234	2477	50230
235	2487	50216
236	2497	50201
237	2507	50175
238	2517	50151
239	2527	50134
240	2537	50103
241	2547	50085
242	2557	50070
243	2567	50050
244	2578	50036
245	2587	50010
246	2597	49992
247	2607	49964
248	2617	49942
249	2627	49918
250	2636	49890
251	2646	49867
252	2657	49854
253	2666	49828
254	2678	49832
255	2687	49805
256	2697	49788
257	2707	49760
258	2717	49738
259	2727	49727
260	2737	49708
261	2747	49686
262	2759	49696
263	2772	49731
264	2781	49708
265	2792	49694
266	2802	49670
267	2812	49663
268	2823	49650
269	2832	49622
270	2842	49606
271	2852	49590
272	2862	49572
273	2873	49554
274	2882	49530
275	2892	49512
276	2902	49489
277	2912	49474
278	2922	49458
279	2932	49439
280	2942	49422
281	2952	49400
282	2962	49378
283	2972	49357
284	2982	49340
285	2992	49328
286	3002	49309
287	3012	49289
288	3022	49274
289	3032	49251
290	3042	49232
291	3052	49216
292	3062	49197
293	3072	49186
294	3082	49166
295	3093	49155
296	3103	49139
297	3115	49161
298	3126	49149
299	3136	49136
300	3146	49115
301	3155	49092
302	3165	49076
303	3175	49059
304	3185	49042
305	3195	49024
306	3206	49013
307	3216	48997
308	3226	48980
309	3236	48971
310	3246	48950
311	3257	48938
312	3267	48922
313	3276	48899
314	3287	48890
315	3297	48878
316	3307	48860
317	3317	48850
318	3327	48833
319	3338	48821
320	3349	48827
321	3360	48821
322	3372	48827
323	3383	48832
324	3393	48818
325	3405	48820
326	3415	48814
327	3426	48802
328	3437	48804
329	3448	48808
330	3459	48793
331	3470	48793
332	3481	48793
333	3492	48790
334	3503	48788
335	3514	48788
336	3524	48772
337	3535	48768
338	3546	48762
339	3556	48749
340	3568	48749
341	3578	48734
342	3589	48735
343	3600	48732
344	3610	48718
345	3622	48725
346	3633	48728
347	3645	48730
348	3655	48717
349	3667	48723
350	3678	48716
351	3688	48705
352	3699	48698
353	3709	48679
354	3719	48663
355	3729	48655
356	3739	48633
357	3751	48648
358	3764	48659
359	3775	48657
360	3785	48640
361	3794	48621
362	3804	48602
363	3814	48580
364	3824	48560
365	3833	48538
366	3843	48524
367	3853	48508
368	3864	48495
369	3874	48487
370	3884	48470
371	3894	48456
372	3904	48439
373	3914	48423
374	3925	48413
375	3935	48395
376	3945	48382
377	3955	48363
378	3965	48346
379	3975	48331
380	3985	48312
381	3994	48295
382	4004	48278
383	4015	48264
384	4025	48249
385	4034	48227
386	4044	48212
387	4054	48196
388	4064	48184
389	4075	48169
390	4084	48150
391	4094	48134
392	4104	48115
393	4114	48102
394	4124	48087
395	4134	48068
396	4144	48050
397	4154	48032
398	4164	48020
399	4174	48005
400	4184	47991
401	4194	47976
402	4204	47964
403	4214	47945
404	4224	47927
405	4233	47908
406	4243	47892
407	4253	47876
408	4263	47858
409	4274	47850
410	4283	47832
411	4294	47818
412	4304	47806
413	4314	47790
414	4324	47776
415	4334	47758
416	4344	47745
417	4354	47734
418	4364	47716
419	4374	47702
420	4384	47684
