match,pinnacle,parimatch,ggbet,date,tournament,team left,players_left,team right,players_right,ban_left,ban_right,pick_left_team,pick_right_team,result_left_team,result_right_team,score
Tundra Esports vs beastcoast,1.50-2.62,1.07-7.50,-,27 Августа 15:00 2021,ESL One Fall 2021,Tundra Esports,"['FATA-', 'Skiter', 'Nine', '33', 'Sneyking']",beastcoast,"['StingerR', 'K1', 'Chris Luck', 'Wisper', 'Scofield']","['Phoenix', 'Shadow Demon', 'Slark', 'Sven', 'Terrorblade', 'Dark Seer', 'Viper']","['Pangolier', 'Omniknight', 'Visage', 'Gyrocopter', 'Monkey King', 'Magnus', 'Medusa']","['Abaddon', 'Luna', 'Batrider', 'Tidehunter', 'Keeper of the Light']","['Winter Wyvern', 'Phantom Lancer', 'Void Spirit', 'Leshrac', 'Nyx Assassin']","<span class=""team__title-label"">Победа</span>",,33 : 10
Tundra Esports vs beastcoast,1.50-2.62,1.07-7.50,-,27 Августа 15:00 2021,ESL One Fall 2021,beastcoast,"['StingerR', 'K1', 'Chris Luck', 'Wisper', 'Scofield']",Tundra Esports,"['FATA-', 'Skiter', 'Nine', '33', 'Sneyking']","['Tidehunter', 'Gyrocopter', 'Void Spirit', 'Beastmaster', 'Lycan', 'Templar Assassin', 'Bloodseeker']","['Omniknight', 'Pangolier', 'Queen of Pain', 'Phantom Lancer', 'Slark', 'Lina', 'Invoker']","['Abaddon', 'Faceless Void', 'Windranger', 'Keeper of the Light', 'Earth Spirit']","['Nyx Assassin', 'Sven', 'Batrider', 'Doom', 'Shadow Demon']",,"<span class=""team__title-label"">Победа</span>",28 : 52
Vici Gaming vs Elephant,2.13-1.73,3.75-1.25,-,27 Августа 14:16 2021,i-League 2021 Season 2,Elephant,"['Eurus', 'Somnus`M', 'Yang', 'fy', 'Super']",Vici Gaming,"['The last dark', 'Ori', 'old eLeVeN', 'Pyw', 'Dy']","['Nyx Assassin', 'Lina', 'Void Spirit', 'Templar Assassin', 'Dragon Knight', 'Morphling', 'Spectre']","['Clockwerk', 'Earthshaker', 'Monkey King', 'Slark', 'Pangolier', 'Sand King', 'Mars']","['Lifestealer', 'Storm Spirit', 'Night Stalker', 'Silencer', 'Grimstroke']","['Drow Ranger', 'Shadow Fiend', 'Tidehunter', 'Keeper of the Light', 'Disruptor']",,"<span class=""team__title-label"">Победа</span>",6 : 18
Vici Gaming vs Elephant,2.13-1.73,3.75-1.25,-,27 Августа 14:16 2021,i-League 2021 Season 2,Elephant,"['Eurus', 'Somnus`M', 'Yang', 'fy', 'Super']",Vici Gaming,"['The last dark', 'Ori', 'old eLeVeN', 'Pyw', 'Dy']","['Keeper of the Light', 'Clockwerk', 'Dragon Knight', 'Invoker', 'Templar Assassin', 'Kunkka', 'Void Spirit']","['Tidehunter', 'Lina', 'Storm Spirit', 'Batrider', 'Dark Seer', 'Troll Warlord', 'Clinkz']","['Gyrocopter', 'Windranger', 'Viper', 'Phoenix', 'Nyx Assassin']","['Monkey King', 'Queen of Pain', 'Beastmaster', 'Enchantress', 'Disruptor']","<span class=""team__title-label"">Победа</span>",,35 : 23
Vici Gaming vs Elephant,2.13-1.73,3.75-1.25,-,27 Августа 14:16 2021,i-League 2021 Season 2,Elephant,"['Eurus', 'Somnus`M', 'Yang', 'fy', 'Super']",Vici Gaming,"['The last dark', 'Ori', 'old eLeVeN', 'Pyw', 'Dy']","['Clockwerk', 'Silencer', 'Troll Warlord', 'Ursa', 'Terrorblade', 'Shadow Fiend', 'Queen of Pain']","['Lina', 'Keeper of the Light', 'Dark Seer', 'Viper', 'Bloodseeker', 'Templar Assassin', 'Invoker']","['Monkey King', 'Sniper', 'Legion Commander', 'Hoodwink', 'Nyx Assassin']","['Sven', 'Void Spirit', 'Tidehunter', 'Pangolier', 'Disruptor']","<span class=""team__title-label"">Победа</span>",,32 : 16
Aster.Aries vs Royal Never Give Up,1.24-4.18,5.40-1.13,-,27 Августа 11:04 2021,i-League 2021 Season 2,Aster.Aries,"['Tempest', 'phoenix', '生死', 'yoona', 'Siamese.C']",Royal Never Give Up,"['God-King', 'Dstones', 'Flyby', 'FelixCiaoBa', 'RedPanda']","['Lina', 'Tidehunter', 'Keeper of the Light', 'Faceless Void', 'Timbersaw', 'Phantom Lancer', 'Anti-Mage']","['Bloodseeker', 'Mars', 'Lycan', 'Templar Assassin', 'Sven', 'Beastmaster', 'Pangolier']","['Morphling', 'Broodmother', 'Dragon Knight', 'Lion', 'Abaddon']","[""Nature's Prophet"", 'Invoker', 'Dark Seer', 'Nyx Assassin', 'Undying']",,"<span class=""team__title-label"">Победа</span>",18 : 20
Aster.Aries vs Royal Never Give Up,1.24-4.18,5.40-1.13,-,27 Августа 11:04 2021,i-League 2021 Season 2,Royal Never Give Up,"['God-King', 'Dstones', 'Flyby', 'FelixCiaoBa', 'RedPanda']",Aster.Aries,"['Tempest', 'phoenix', '生死', 'yoona', 'Siamese.C']","['Lina', 'Sven', 'Lion', 'Magnus', 'Abaddon', 'Phantom Lancer', 'Ancient Apparition']","['Nyx Assassin', 'Tidehunter', 'Bloodseeker', 'Night Stalker', 'Faceless Void', 'Doom', 'Sand King']","['Morphling', 'Keeper of the Light', 'Batrider', 'Void Spirit', 'Ogre Magi']","['Queen of Pain', 'Templar Assassin', 'Dark Seer', 'Pangolier', 'Tusk']",,"<span class=""team__title-label"">Победа</span>",30 : 40
Aster.Aries vs Royal Never Give Up,1.24-4.18,5.40-1.13,-,27 Августа 11:04 2021,i-League 2021 Season 2,Aster.Aries,"['Tempest', 'phoenix', '生死', 'yoona', 'Siamese.C']",Royal Never Give Up,"['God-King', 'Dstones', 'Flyby', 'FelixCiaoBa', 'RedPanda']","['Lina', 'Dark Seer', 'Batrider', 'Tidehunter', 'Legion Commander', 'Arc Warden', ""Nature's Prophet""]","['Pangolier', 'Queen of Pain', 'Templar Assassin', 'Broodmother', 'Sven', 'Morphling', 'Bloodseeker']","['Clinkz', 'Kunkka', 'Mars', 'Lion', 'Disruptor']","['Lifestealer', 'Invoker', 'Sand King', 'Hoodwink', 'Nyx Assassin']",,"<span class=""team__title-label"">Победа</span>",18 : 40
Aster.Aries vs Elephant,1.14-6.05,3.75-1.25,-,27 Августа 08:10 2021,i-League 2021 Season 2,Aster.Aries,"['Tempest', 'phoenix', '生死', 'yoona', 'Siamese.C']",Elephant,"['Eurus', 'Somnus`M', 'Yang', 'fy', 'Super']","['Tidehunter', 'Keeper of the Light', 'Medusa', 'Night Stalker', 'Mars', 'Sand King', 'Timbersaw']","['Nyx Assassin', 'Omniknight', 'Monkey King', 'Dark Seer', 'Bloodseeker', 'Troll Warlord', 'Lifestealer']","['Lycan', 'Lina', 'Pangolier', 'Earth Spirit', 'Winter Wyvern']","['Sven', 'Void Spirit', 'Bristleback', 'Grimstroke', 'Clockwerk']",,"<span class=""team__title-label"">Победа</span>",8 : 14
Aster.Aries vs Elephant,1.14-6.05,3.75-1.25,-,27 Августа 08:10 2021,i-League 2021 Season 2,Elephant,"['Eurus', 'Somnus`M', 'Yang', 'fy', 'Super']",Aster.Aries,"['Tempest', 'phoenix', '生死', 'yoona', 'Siamese.C']","['Clockwerk', 'Void Spirit', 'Lifestealer', 'Juggernaut', 'Death Prophet', 'Templar Assassin', 'Invoker']","['Tidehunter', 'Lina', 'Storm Spirit', 'Night Stalker', 'Timbersaw', 'Puck', 'Razor']","['Monkey King', 'Keeper of the Light', 'Sand King', 'Shadow Demon', 'Nyx Assassin']","['Sven', 'Ember Spirit', 'Mars', 'Lion', 'Omniknight']","<span class=""team__title-label"">Победа</span>",,50 : 45
