match,pinnacle,parimatch,ggbet,date,tournament,team left,players_left,team right,players_right,ban_left,ban_right,pick_left_team,pick_right_team,result_left_team,result_right_team,score
PuckChamp vs Fantastic Five,1.61-2.14,1.13-5.40,-,05 Сентября 18:10 2021,Dota 2 Champions League 2021 Season 3,PuckChamp,"['krylat', 'young G', 'meLes', 'Astral', 'Dukalis']",Fantastic Five,"['dream`', 'Askold', 'Shergarat', 'jAMES', 'Seleri']","['Beastmaster', 'Lycan', 'Io', 'Night Stalker', 'Storm Spirit', 'Puck', 'Tiny']","['Keeper of the Light', 'Pangolier', 'Invoker', 'Batrider', 'Mars', 'Lion', 'Shadow Demon']","['Gyrocopter', 'Lina', 'Bloodseeker', 'Shadow Shaman', 'Omniknight']","['Morphling', 'Ember Spirit', 'Tidehunter', 'Rubick', 'Sven']","<span class=""team__title-label"">Победа</span>",,25 : 13
PuckChamp vs Fantastic Five,1.61-2.14,1.13-5.40,-,05 Сентября 18:10 2021,Dota 2 Champions League 2021 Season 3,PuckChamp,"['krylat', 'young G', 'meLes', 'Astral', 'Dukalis']",Fantastic Five,"['dream`', 'Askold', 'Blizzy', 'jAMES', 'Seleri']","['Night Stalker', 'Beastmaster', 'Slark', 'Sven', 'Lifestealer', 'Medusa', 'Anti-Mage']","['Keeper of the Light', 'Omniknight', 'Tidehunter', 'Mars', 'Lina', 'Queen of Pain', 'Storm Spirit']","['Gyrocopter', 'Invoker', 'Sand King', 'Rubick', 'Pangolier']","['Bloodseeker', 'Batrider', 'Magnus', 'Windranger', 'Grimstroke']","<span class=""team__title-label"">Победа</span>",,27 : 26
Spider Pigzs vs Team Empire,2.61-1.46,7.00-1.08,-,05 Сентября 15:10 2021,Dota 2 Champions League 2021 Season 3,Team Empire,"['Shachlo', 'Smiling Knight', 'Lorenof', 'sayuw', 'VANSKOR']",Spider Pigzs,"['lil pleb', 'No!ob', 'Funn1k', 'OmaR', 'LeBron']","['Keeper of the Light', 'Bane', 'Batrider', 'Morphling', 'Phantom Lancer', 'Void Spirit', 'Viper']","['Lina', 'Omniknight', 'Shadow Fiend', 'Sven', 'Clinkz', 'Invoker', 'Ember Spirit']","['Vengeful Spirit', 'Medusa', 'Storm Spirit', 'Pangolier', 'Clockwerk']","['Luna', 'Death Prophet', 'Bloodseeker', 'Lion', 'Treant Protector']","<span class=""team__title-label"">Победа</span>",,31 : 26
Spider Pigzs vs Team Empire,2.61-1.46,7.00-1.08,-,05 Сентября 15:10 2021,Dota 2 Champions League 2021 Season 3,Spider Pigzs,"['lil pleb', 'No!ob', 'Funn1k', 'OmaR', 'LeBron']",Team Empire,"['Shachlo', 'Smiling Knight', 'Lorenof', 'sayuw', 'VANSKOR']","['Vengeful Spirit', 'Omniknight', 'Winter Wyvern', 'Medusa', 'Lifestealer', 'Storm Spirit', 'Invoker']","['Keeper of the Light', 'Lina', 'Tidehunter', 'Lycan', 'Mars', 'Batrider', 'Queen of Pain']","['Sven', 'Snapfire', 'Beastmaster', 'Phoenix', 'Pangolier']","['Bloodseeker', 'Sniper', 'Void Spirit', 'Lion', 'Treant Protector']","<span class=""team__title-label"">Победа</span>",,21 : 12
Spider Pigzs vs Team Empire,2.61-1.46,7.00-1.08,-,05 Сентября 15:10 2021,Dota 2 Champions League 2021 Season 3,Team Empire,"['Shachlo', 'Smiling Knight', 'Lorenof', 'sayuw', 'VANSKOR']",Spider Pigzs,"['lil pleb', 'No!ob', 'Funn1k', 'OmaR', 'LeBron']","['Keeper of the Light', 'Pangolier', 'Batrider', 'Lycan', 'Invoker', 'Queen of Pain', 'Snapfire']","['Lina', 'Shadow Demon', 'Beastmaster', 'Storm Spirit', 'Lion', 'Mars', 'Dragon Knight']","['Axe', 'Gyrocopter', 'Leshrac', 'Dark Willow', 'Omniknight']","['Morphling', 'Void Spirit', 'Tidehunter', 'Rubick', 'Sven']","<span class=""team__title-label"">Победа</span>",,23 : 9
Team Aster vs Vici Gaming,1.48-2.68,1.02-11.00,-,05 Сентября 14:16 2021,i-League 2021 Season 2,Vici Gaming,"['The last dark', 'Ori', 'old eLeVeN', 'Pyw', 'Dy']",Team Aster,"['Monet', 'White丶Album_白学家', 'Xxs', 'Borax', 'LaNm']","['Lina', 'Monkey King', 'Slark', 'Clinkz', 'Ursa', 'Lifestealer', 'Troll Warlord']","['Lion', 'Keeper of the Light', 'Bloodseeker', 'Omniknight', 'Tidehunter', 'Void Spirit', 'Razor']","['Sven', 'Puck', 'Dragon Knight', 'Phoenix', 'Grimstroke']","['Luna', 'Queen of Pain', 'Pangolier', 'Pudge', 'Chen']","<span class=""team__title-label"">Победа</span>",,21 : 15
Team Aster vs Vici Gaming,1.48-2.68,1.02-11.00,-,05 Сентября 14:16 2021,i-League 2021 Season 2,Team Aster,"['Monet', 'White丶Album_白学家', 'Xxs', 'Borax', 'LaNm']",Vici Gaming,"['The last dark', 'Ori', 'old eLeVeN', 'Pyw', 'Dy']","['Lion', 'Keeper of the Light', 'Sven', 'Omniknight', 'Phoenix', 'Phantom Lancer', 'Ursa']","['Monkey King', 'Lina', 'Juggernaut', 'Storm Spirit', 'Lifestealer', 'Morphling', 'Terrorblade']","['Medusa', 'Queen of Pain', 'Vengeful Spirit', 'Pudge', 'Lich']","['Anti-Mage', 'Void Spirit', 'Bloodseeker', 'Pangolier', 'Shadow Demon']","<span class=""team__title-label"">Победа</span>",,39 : 26
Team Aster vs Vici Gaming,1.48-2.68,1.02-11.00,-,05 Сентября 14:16 2021,i-League 2021 Season 2,Vici Gaming,"['The last dark', 'Ori', 'old eLeVeN', 'Pyw', 'Dy']",Team Aster,"['Monet', 'White丶Album_白学家', 'Xxs', 'Borax', 'LaNm']","['Monkey King', 'Lina', 'Storm Spirit', 'Medusa', 'Shadow Fiend', 'Magnus', 'Queen of Pain']","['Lion', 'Keeper of the Light', 'Omniknight', 'Sven', 'Void Spirit', 'Razor', 'Puck']","['Weaver', 'Tinker', 'Bloodseeker', 'Pangolier', 'Shadow Demon']","['Juggernaut', 'Batrider', 'Vengeful Spirit', 'Pudge', 'Lich']",,"<span class=""team__title-label"">Победа</span>",24 : 39
Team Aster vs Vici Gaming,1.48-2.68,1.02-11.00,-,05 Сентября 14:16 2021,i-League 2021 Season 2,Team Aster,"['Monet', 'White丶Album_白学家', 'Xxs', 'Borax', 'LaNm']",Vici Gaming,"['The last dark', 'Ori', 'old eLeVeN', 'Pyw', 'Dy']","['Lion', 'Keeper of the Light', 'Shadow Demon', 'Phoenix', 'Void Spirit', 'Slardar', 'Doom']","['Monkey King', 'Lina', 'Vengeful Spirit', 'Pangolier', 'Bloodseeker', 'Night Stalker', 'Lycan']","['Sven', 'Storm Spirit', 'Necrophos', 'Pudge', 'Lich']","['Slark', 'Invoker', 'Dragon Knight', 'Grimstroke', 'Omniknight']","<span class=""team__title-label"">Победа</span>",,38 : 21
Vici Gaming vs Invictus Gaming,1.72-2.14,1.09-6.50,-,05 Сентября 10:10 2021,i-League 2021 Season 2,Invictus Gaming,"['flyfly', 'Emo', 'JT-', 'Kaka', 'Oli']",Vici Gaming,"['The last dark', 'Ori', 'old eLeVeN', 'Pyw', 'Dy']","['Keeper of the Light', 'Dragon Knight', 'Omniknight', 'Disruptor', 'Templar Assassin', 'Drow Ranger', 'Troll Warlord']","['Lina', 'Monkey King', 'Doom', 'Io', 'Bloodseeker', 'Dark Seer', 'Legion Commander']","['Ursa', 'Void Spirit', 'Timbersaw', 'Nyx Assassin', 'Grimstroke']","['Slark', 'Shadow Fiend', 'Tidehunter', 'Lion', 'Pangolier']",,"<span class=""team__title-label"">Победа</span>",20 : 30
