,match,pinnacle,parimatch,ggbet,date,tournament,team left,players_left,team right,players_right,ban_left,ban_right,pick_left_team,pick_right_team,result_left_team,result_right_team,score
0,Team Aster vs EHOME,2.20-1.68,-,2.09-1.69,25 Июля 10:16 2020,DPL-CDA Professional League Season 2,EHOME,"['Sylar', 'NothingToSay', 'Faith_bian', 'XinQ', 'y`']",Team Aster,"['Sccc', 'CHYuan', 'Xxs', 'Borax', 'Fade']","['Io', 'Batrider', 'Enigma', 'Doom', 'Anti-Mage', 'Faceless Void', 'Clinkz']","[""Nature's Prophet"", 'Treant Protector', 'Viper', 'Kunkka', 'Puck', 'Earthshaker', 'Disruptor']","['Spectre', 'Zeus', 'Pangolier', 'Mirana', 'Clockwerk']","['Lifestealer', 'Queen of Pain', 'Tidehunter', 'Enchantress', 'Shadow Shaman']","<span class=""team__title-label"">Победа</span>",,31 : 7
1,Team Aster vs EHOME,2.20-1.68,-,2.09-1.69,25 Июля 10:16 2020,DPL-CDA Professional League Season 2,Team Aster,"['Sccc', 'CHYuan', 'Xxs', 'Borax', 'Fade']",EHOME,"['Sylar', 'NothingToSay', 'Faith_bian', 'XinQ', 'y`']","['Techies', 'Mirana', 'Zeus', 'Pangolier', 'Spectre', 'Leshrac', 'Ember Spirit']","['Io', 'Batrider', 'Kunkka', 'Terrorblade', 'Faceless Void', 'Void Spirit', 'Invoker']","['Naga Siren', 'Windranger', 'Mars', 'Clockwerk', 'Phoenix']","['Juggernaut', ""Nature's Prophet"", 'Brewmaster', 'Earth Spirit', 'Snapfire']",,"<span class=""team__title-label"">Победа</span>",22 : 38
2,business associates vs Quincy Crew,1.96-1.78,-,5.06(10.09)2.53,25 Июля 03:19 2020,The Great American Rivalry Division 1 Season 1,Quincy Crew,"['YawaR', 'Quinn', 'Lelis', 'MSS', 'SVG']",business associates,"['Fear', 'EternaLEnVy', 'Moo', 'brax', 'Sneyking']","['Doom', 'Tiny', 'Viper', 'Death Prophet', 'Ogre Magi', 'Morphling', 'Slark']","['Void Spirit', ""Nature's Prophet"", 'Silencer', 'Legion Commander', 'Kunkka', 'Faceless Void', 'Gyrocopter']","['Weaver', 'Ember Spirit', 'Abaddon', 'Rubick', 'Mirana']","['Crystal Maiden', 'Queen of Pain', 'Juggernaut', 'Batrider', 'Earthshaker']","<span class=""team__title-label"">Победа</span>",,23 : 10
3,business associates vs Quincy Crew,1.96-1.78,-,5.06(10.09)2.53,25 Июля 03:19 2020,The Great American Rivalry Division 1 Season 1,business associates,"['Fear', 'EternaLEnVy', 'brax', 'Moo', 'Sneyking']",Quincy Crew,"['YawaR', 'Quinn', 'Lelis', 'MSS', 'SVG']","['Void Spirit', ""Nature's Prophet"", 'Queen of Pain', 'Lina', 'Invoker', 'Necrophos', 'Mars']","['Doom', 'Viper', 'Beastmaster', 'Chen', 'Venomancer', 'Anti-Mage', 'Spectre']","['Earthshaker', 'Death Prophet', 'Legion Commander', 'Sven', 'Windranger']","['Medusa', 'Leshrac', 'Sand King', 'Tiny', 'Silencer']",,"<span class=""team__title-label"">Победа</span>",15 : 28
4,Quincy Crew vs 4 Zoomers,1.95-1.79,-,1.90(1.89)5.85,25 Июля 01:06 2020,The Great American Rivalry Division 1 Season 1,4 Zoomers,"['Sammyboy', 'Gunnar', 'monkeys-forever', 'Oceania', 'Husky']",Quincy Crew,"['YawaR', 'Quinn', 'Lelis', 'MSS', 'SVG']","['Ember Spirit', 'Death Prophet', 'Beastmaster', 'Sand King', 'Spectre', 'Naga Siren', 'Morphling']","['Doom', 'Void Spirit', 'Kunkka', 'Viper', 'Troll Warlord', 'Broodmother', 'Batrider']","['Faceless Void', 'Invoker', 'Centaur Warrunner', 'Tiny', 'Snapfire']","['Medusa', 'Queen of Pain', 'Legion Commander', 'Phoenix', 'Clockwerk']","<span class=""team__title-label"">Победа</span>",,21 : 27
5,Quincy Crew vs 4 Zoomers,1.95-1.79,-,1.90(1.89)5.85,25 Июля 01:06 2020,The Great American Rivalry Division 1 Season 1,Quincy Crew,"['YawaR', 'Quinn', 'Lelis', 'MSS', 'SVG']",4 Zoomers,"['Sammyboy', 'Gunnar', 'monkeys-forever', 'Oceania', 'Husky']","['Tiny', 'Batrider', 'Sand King', 'Sven', 'Spectre', 'Invoker', 'Broodmother']","['Ember Spirit', 'Void Spirit', 'Morphling', 'Death Prophet', 'Underlord', 'Queen of Pain', 'Kunkka']","['Medusa', 'Leshrac', ""Nature's Prophet"", 'Winter Wyvern', 'Nyx Assassin']","['Riki', 'Pangolier', 'Doom', 'Dark Seer', 'Grimstroke']",,"<span class=""team__title-label"">Победа</span>",17 : 32
6,Vira Lata Caramelo vs CR4ZY,-,-,13.36(12.52)1.18,24 Июля 23:06 2020,The Great American Rivalry Division 1 Season 1,Vira Lata Caramelo,"['Arms', 'the demons told me', 'H1j4ck', 'Kaffurtado', 'Patati']",CR4ZY,"['hFn', 'bryle', 'KheZu', 'MoonMeander', 'Aui_2000']","['Ember Spirit', 'Doom', 'Spectre', 'Mirana', 'Arc Warden', 'Timbersaw', 'Kunkka']","['Brewmaster', 'Legion Commander', 'Slark', 'Faceless Void', 'Beastmaster', 'Queen of Pain', 'Lina']","['Lifestealer', 'Rubick', 'Centaur Warrunner', 'Tiny', 'Enchantress']","['Medusa', 'Death Prophet', 'Batrider', 'Treant Protector', 'Lich']",,"<span class=""team__title-label"">Победа</span>",11 : 48
7,Vira Lata Caramelo vs CR4ZY,-,-,13.36(12.52)1.18,24 Июля 23:06 2020,The Great American Rivalry Division 1 Season 1,CR4ZY,"['hFn', 'bryle', 'KheZu', 'MoonMeander', 'Aui_2000']",Vira Lata Caramelo,"['Arms', 'the demons told me', 'H1j4ck', 'Kaffurtado', 'Patati']","['Brewmaster', 'Mirana', 'Morphling', 'Kunkka', 'Puck', 'Templar Assassin', 'Storm Spirit']","['Ember Spirit', 'Viper', 'Ursa', 'Alchemist', 'Terrorblade', 'Invoker', 'Queen of Pain']","['Slark', 'Zeus', 'Centaur Warrunner', 'Phoenix', 'Ogre Magi']","['Spectre', 'Leshrac', 'Doom', 'Rubick', 'Undying']","<span class=""team__title-label"">Победа</span>",,54 : 13
8,Midas Club vs Thunder Predator,2.83-1.39,-,9.23(6.21)1.43,24 Июля 03:29 2020,The Great American Rivalry Division 1 Season 1,Midas Club,"['21 21 21', 'Sexyfat', 'RdO-', 'Hyko', 'Duster']",Thunder Predator,"['Mnz', 'Leostyle-', 'Frank', 'Matthew', 'Mjz']","['Beastmaster', 'Underlord', 'Jakiro', 'Batrider', 'Undying', 'Puck', 'Clockwerk']","['Necrophos', 'Treant Protector', 'Timbersaw', 'Centaur Warrunner', 'Tidehunter', 'Kunkka', 'Invoker']","['Death Prophet', 'Sand King', 'Anti-Mage', 'Tusk', 'Winter Wyvern']","['Spectre', 'Queen of Pain', ""Nature's Prophet"", 'Ember Spirit', 'Lich']",,"<span class=""team__title-label"">Победа</span>",23 : 41
9,Midas Club vs Thunder Predator,2.83-1.39,-,9.23(6.21)1.43,24 Июля 03:29 2020,The Great American Rivalry Division 1 Season 1,Midas Club,"['21 21 21', 'Sexyfat', 'RdO-', 'Hyko', 'Duster']",Thunder Predator,"['Mnz', 'Leostyle-', 'Frank', 'Matthew', 'Mjz']","['Beastmaster', 'Spectre', 'Phantom Lancer', 'Tiny', 'Queen of Pain', 'Ember Spirit', 'Puck']","['Necrophos', 'Winter Wyvern', 'Timbersaw', 'Kunkka', 'Sand King', 'Invoker', 'Death Prophet']","['Void Spirit', 'Underlord', 'Terrorblade', 'Treant Protector', 'Lion']","['Slark', 'Legion Commander', ""Nature's Prophet"", 'Leshrac', 'Vengeful Spirit']",,"<span class=""team__title-label"">Победа</span>",21 : 36
