,match,pinnacle,parimatch,ggbet,date,tournament,team left,players_left,team right,players_right,ban_left,ban_right,pick_left_team,pick_right_team,result_left_team,result_right_team,score
0,Newbee vs Team Aster,1.54-2.36,-,1.86-1.88,18 Февраля 14:33 2020,StarLadder ImbaTV Dota 2 Minor Season 3 | Квалификации,Team Aster,"['Sccc', 'CHYuan', 'Borax', 'Fade', 'Moogy']",Newbee,"['Aq', 'Waixi', 'Faith']","['Tiny', 'Earthshaker', 'Lich', 'Troll Warlord', 'Batrider', 'Bloodseeker']","['Io', 'Enchantress', 'Omniknight', 'Naga Siren', 'Morphling', 'Outworld Destroyer']","['Slark', 'Shadow Fiend', 'Ancient Apparition', 'Shadow Shaman', 'Ember Spirit']","['Templar Assassin', 'Puck', 'Oracle']",,"<span class=""team__title-label"">Победа</span>",12 : 21
1,Newbee vs Team Aster,1.54-2.36,-,1.86-1.88,18 Февраля 14:33 2020,StarLadder ImbaTV Dota 2 Minor Season 3 | Квалификации,Team Aster,"['Sccc', 'CHYuan', 'Borax', 'Fade', 'Moogy']",Newbee,"['Aq', 'Waixi', 'Faith']","['Tiny', 'Timbersaw', 'Earthshaker', 'Oracle', 'Slark', 'Ember Spirit']","['Io', 'Enchantress', 'Lich', 'Troll Warlord', 'Morphling', 'Templar Assassin']","['Phantom Lancer', 'Kunkka', 'Batrider', 'Puck', 'Lone Druid']","['Magnus', 'Rubick', 'Ancient Apparition']","<span class=""team__title-label"">Победа</span>",,26 : 26
2,Newbee vs Team Aster,1.54-2.36,-,1.86-1.88,18 Февраля 14:33 2020,StarLadder ImbaTV Dota 2 Minor Season 3 | Квалификации,Team Aster,"['Sccc', 'CHYuan', 'Fade', 'Borax', 'Moogy']",Newbee,"['Aq', 'Waixi', 'Faith']","['Tiny', 'Timbersaw', 'Earthshaker', 'Batrider', 'Queen of Pain', 'Clockwerk']","['Io', 'Enchantress', 'Lich', 'Mars', 'Centaur Warrunner', 'Keeper of the Light']","['Razor', 'Arc Warden', 'Puck', 'Winter Wyvern', 'Troll Warlord']","['Outworld Destroyer', 'Earth Spirit', 'Oracle']",,"<span class=""team__title-label"">Победа</span>",13 : 22
3,Avengerls vs Keen Gaming,1.98-1.77,-,1.94-1.80,18 Февраля 11:42 2020,StarLadder ImbaTV Dota 2 Minor Season 3 | Квалификации,Keen Gaming,"['天命', 'Kamma', '一', 'Srf', 'mianmian']",Avengerls,"['Exx', 'Pabiyon', 'YIM', 'pkt']","['Tiny', 'Tusk', 'Timbersaw', 'Slark', 'Rubick', 'Outworld Destroyer']","['Disruptor', ""Nature's Prophet"", 'Io', 'Batrider', 'Morphling', 'Puck']","['Ancient Apparition', 'Troll Warlord', 'Dragon Knight', 'Venomancer', 'Earthshaker']","['Lifestealer', 'Slardar', 'Clockwerk', 'Enchantress']",,"<span class=""team__title-label"">Победа</span>",17 : 30
4,Avengerls vs Keen Gaming,1.98-1.77,-,1.94-1.80,18 Февраля 11:42 2020,StarLadder ImbaTV Dota 2 Minor Season 3 | Квалификации,Avengerls,"['Exx', 'Pabiyon', 'YIM', 'pkt', '天命']",Keen Gaming,"['Kamma', '一', 'Srf', 'mianmian']","['Disruptor', ""Nature's Prophet"", 'Enchantress', 'Ember Spirit', 'Outworld Destroyer', 'Leshrac']","['Tiny', 'Tusk', 'Lich', 'Storm Spirit', 'Dragon Knight', 'Batrider']","['Slark', 'Centaur Warrunner', 'Rubick', 'Chen', 'Keeper of the Light']","['Bloodseeker', 'Templar Assassin', 'Necrophos', 'Spirit Breaker']",,"<span class=""team__title-label"">Победа</span>",15 : 20
5,Avengerls vs Keen Gaming,1.98-1.77,-,1.94-1.80,18 Февраля 11:42 2020,StarLadder ImbaTV Dota 2 Minor Season 3 | Квалификации,Keen Gaming,"['天命', 'Kamma', '一', 'Srf', 'mianmian']",Avengerls,"['Exx', 'Pabiyon', 'YIM', 'pkt']","['Tiny', 'Tusk', 'Timbersaw', 'Storm Spirit', 'Omniknight', 'Dragon Knight']","['Disruptor', ""Nature's Prophet"", 'Templar Assassin', 'Razor', 'Troll Warlord', 'Faceless Void']","['Keeper of the Light', 'Magnus', 'Shadow Fiend', 'Slardar', 'Earth Spirit']","['Lifestealer', 'Pangolier', 'Earthshaker', 'Enchantress']","<span class=""team__title-label"">Победа</span>",,22 : 6
6,Avengerls vs Newbee,9.61-1.04,-,-,18 Февраля 05:01 2020,StarLadder ImbaTV Dota 2 Minor Season 3 | Квалификации,Avengerls,"['Exx', 'Pabiyon', 'YIM', 'pkt', 'Moogy']",Newbee,"['Aq', 'Waixi', 'Faith']","['Earthshaker', 'Templar Assassin', 'Io', 'Razor', 'Outworld Destroyer', 'Kunkka']","['Timbersaw', 'Snapfire', 'Chen', 'Puck', 'Rubick', 'Leshrac']","['Troll Warlord', 'Legion Commander', 'Tusk', 'Lich', 'Monkey King']","['Morphling', 'Tiny', 'Disruptor']","<span class=""team__title-label"">Победа</span>",,23 : 15
7,Avengerls vs Newbee,9.61-1.04,-,-,18 Февраля 05:01 2020,StarLadder ImbaTV Dota 2 Minor Season 3 | Квалификации,Avengerls,"['Exx', 'Pabiyon', 'YIM', 'pkt', 'Moogy']",Newbee,"['Aq', 'Waixi', 'Faith']","['Void Spirit', 'Earthshaker', 'Disruptor', 'Crystal Maiden', 'Ancient Apparition', 'Puck']","['Lich', 'Timbersaw', 'Chen', 'Slardar', 'Troll Warlord', 'Arc Warden']","['Faceless Void', 'Centaur Warrunner', 'Tiny', 'Enchantress', 'Slark']","['Medusa', 'Lion', 'Snapfire']",,"<span class=""team__title-label"">Победа</span>",25 : 29
8,Avengerls vs Newbee,9.61-1.04,-,-,18 Февраля 05:01 2020,StarLadder ImbaTV Dota 2 Minor Season 3 | Квалификации,Avengerls,"['Exx', 'Pabiyon', 'YIM', 'pkt', 'Moogy']",Newbee,"['Aq', 'Waixi', 'Faith']","['Void Spirit', 'Earthshaker', 'Io', 'Outworld Destroyer', 'Templar Assassin', 'Kunkka']","['Enchantress', 'Lich', 'Timbersaw', 'Puck', 'Omniknight', 'Centaur Warrunner']","['Faceless Void', 'Windranger', 'Rubick', 'Ancient Apparition', 'Troll Warlord']","['Leshrac', 'Tiny', 'Oracle']",,"<span class=""team__title-label"">Победа</span>",20 : 35
9,Team Aster vs EHOME,1.72-2.14,-,1.60-2.25,17 Февраля 09:03 2020,ESL One Los Angeles 2020 | Квалификации,Team Aster,"['Sccc', 'CHYuan', 'Borax', 'Fade', 'Sylar']",EHOME,"['NothingToSay', 'Faith_bian']","['Ancient Apparition', 'Lich', 'Oracle', 'Drow Ranger', 'Outworld Destroyer', 'Queen of Pain']","['Enchantress', 'Io', 'Omniknight', 'Timbersaw', 'Batrider', 'Naga Siren']","['Morphling', 'Razor', 'Snapfire', 'Rubick', 'Troll Warlord']","['Tinker', 'Slardar']",,"<span class=""team__title-label"">Победа</span>",10 : 22
